index,localhour,use,humidity,celsius
226250,2018-01-18 05:00:00,0.537,0.71,15.705555555555557
226251,2018-01-18 06:00:00,0.33899999999999997,0.68,15.366666666666665
226252,2018-01-18 07:00:00,0.22899999999999998,0.67,14.844444444444443
226253,2018-01-18 08:00:00,0.247,0.78,13.466666666666669
226254,2018-01-18 09:00:00,0.24600000000000002,0.79,12.92222222222222
226255,2018-01-18 10:00:00,0.23,0.77,12.683333333333332
226256,2018-01-18 11:00:00,0.22699999999999998,0.7,12.805555555555554
226257,2018-01-18 12:00:00,0.243,0.68,12.727777777777776
226258,2018-01-18 13:00:00,0.243,0.66,12.36111111111111
226259,2018-01-18 14:00:00,0.239,0.68,12.211111111111109
226260,2018-01-18 15:00:00,0.379,0.65,11.877777777777778
226261,2018-01-18 16:00:00,0.297,0.68,13.333333333333334
226262,2018-01-18 17:00:00,0.485,0.64,15.32222222222222
226263,2018-01-18 18:00:00,0.289,0.62,17.066666666666666
226264,2018-01-18 19:00:00,0.19,0.5,20.500000000000004
226265,2018-01-18 20:00:00,0.17300000000000001,0.36,23.81666666666667
226266,2018-01-18 21:00:00,0.207,0.4,22.89444444444444
226267,2018-01-18 22:00:00,0.31,0.48,21.71666666666667
226268,2018-01-18 23:00:00,1.876,0.69,18.000000000000004
226269,2018-01-19 00:00:00,1.446,0.79,16.61111111111111
226270,2018-01-19 01:00:00,0.895,0.8,16.12777777777778
226271,2018-01-19 02:00:00,0.597,0.83,15.305555555555555
226272,2018-01-19 03:00:00,0.552,0.83,14.755555555555556
226273,2018-01-19 04:00:00,0.517,0.85,14.349999999999998
226274,2018-01-19 05:00:00,0.48700000000000004,0.85,14.055555555555554
226275,2018-01-19 06:00:00,0.43700000000000006,0.86,13.499999999999998
226276,2018-01-19 07:00:00,0.215,0.89,12.938888888888888
226277,2018-01-19 08:00:00,0.184,0.89,13.333333333333334
226278,2018-01-19 09:00:00,0.184,0.91,13.155555555555557
226279,2018-01-19 10:00:00,0.218,0.91,13.177777777777777
